phi,psi
79.5,-55.5
75.18,-55.38
70.86,-55.26
66.54,-55.14
62.22,-55.02
57.9,-54.9
53.58,-54.78
49.26,-54.66
44.94,-54.54
40.62,-54.42
36.3,-54.3
31.98,-54.18
27.66,-54.06
23.34,-53.94
19.02,-53.82
14.7,-53.7
10.38,-53.58
6.06,-53.46
1.74,-53.34
-2.58,-53.22
-6.9,-53.1
-11.22,-52.98
-15.54,-52.86
-19.86,-52.74
-24.18,-52.62
-28.5,-52.5
