phi,psi,step
79.5,-55.5,0
82.0102525107,-58.3162833955,1
84.5200083743,-61.1330093915,2
87.0308181086,-63.9487960151,3
89.5410706957,-66.7650793425,4
92.0508265558,-69.5818053417,5
94.5610790822,-72.3980887232,6
97.0713316509,-75.2143720671,7
99.5816447495,-78.0306014573,8
102.091897319,-80.8468848006,9
104.60214985,-83.663168178,10
107.11190571,-86.4798941772,11
109.622158287,-89.2961775135,12
112.132968021,-92.111964137,13
114.642723895,-94.9286901242,14
117.152976401,-97.7449735239,15
119.663228916,-100.561256915,16
122.172984776,-103.377982914,17
124.683794504,-106.193769544,18
127.194047101,-109.010052862,19
129.703802961,-111.826778861,20
132.214055483,-114.643062247,21
134.724308051,-117.459345591,22
137.23462115,-120.275574982,23
139.74487372,-123.091858325,24
142.25512628,-125.908141675,25
144.76537885,-128.724425018,26
147.275691949,-131.540654409,27
149.785944517,-134.356937753,28
152.296197039,-137.173221139,29
154.805952899,-139.989947138,30
157.316205496,-142.806230456,31
159.827015224,-145.622017086,32
162.336771084,-148.438743085,33
164.847023599,-151.255026476,34
167.357276105,-154.071309876,35
169.867031979,-156.888035863,36
172.377841713,-159.703822487,37
174.88809429,-162.520105823,38
177.39785015,-165.336831822,39
179.908102681,-168.153115199,40
-177.581644749,-170.969398543,41
-175.071331651,-173.785627933,42
-172.561079082,-176.601911277,43
-170.050826556,-179.418194658,44
-167.541070696,177.765079343,45
-165.030818109,174.948796015,46
-162.520008374,172.133009392,47
-160.010252511,169.316283396,48
-157.5,166.5,49
