1.5 1.5 3.240
1.5 4.5 3.423
1.5 7.5 3.636
1.5 10.5 3.878
1.5 13.5 4.145
1.5 16.5 4.320
1.5 19.5 4.476
1.5 22.5 4.630
1.5 25.5 4.779
1.5 28.5 4.919
1.5 31.5 5.059
1.5 34.5 5.173
1.5 37.5 5.341
1.5 40.5 5.516
1.5 43.5 5.767
1.5 46.5 5.990
1.5 49.5 6.269
1.5 52.5 6.572
1.5 55.5 6.871
1.5 58.5 7.132
1.5 61.5 7.428
1.5 64.5 7.716
1.5 67.5 7.920
1.5 70.5 8.081
1.5 73.5 8.285
1.5 76.5 8.338
1.5 79.5 8.324
1.5 82.5 8.237
1.5 85.5 8.128
1.5 88.5 8.032
1.5 91.5 7.997
1.5 94.5 7.982
1.5 97.5 7.995
1.5 100.5 8.009
1.5 103.5 7.978
1.5 106.5 7.983
1.5 109.5 7.931
1.5 112.5 7.841
1.5 115.5 7.736
1.5 118.5 7.582
1.5 121.5 7.338
1.5 124.5 7.048
1.5 127.5 6.797
1.5 130.5 6.683
1.5 133.5 6.800
1.5 136.5 7.228
1.5 139.5 7.906
1.5 142.5 8.683
1.5 145.5 9.445
1.5 148.5 10.037
1.5 151.5 10.233
1.5 154.5 10.171
1.5 157.5 9.879
1.5 160.5 9.406
1.5 163.5 8.840
1.5 166.5 8.339
1.5 169.5 7.874
1.5 172.5 7.529
1.5 175.5 7.250
1.5 178.5 7.041
1.5 181.5 6.934
1.5 184.5 6.953
1.5 187.5 6.965
1.5 190.5 6.971
1.5 193.5 6.921
1.5 196.5 6.806
1.5 199.5 6.564
1.5 202.5 6.294
1.5 205.5 6.029
1.5 208.5 5.819
1.5 211.5 5.711
1.5 214.5 5.736
1.5 217.5 5.812
1.5 220.5 5.966
1.5 223.5 6.159
1.5 226.5 6.309
1.5 229.5 6.410
1.5 232.5 6.460
1.5 235.5 6.481
1.5 238.5 6.513
1.5 241.5 6.506
1.5 244.5 6.499
1.5 247.5 6.498
1.5 250.5 6.453
1.5 253.5 6.406
1.5 256.5 6.347
1.5 259.5 6.222
1.5 262.5 6.188
1.5 265.5 6.046
1.5 268.5 5.945
1.5 271.5 5.818
1.5 274.5 5.683
1.5 277.5 5.484
1.5 280.5 5.286
1.5 283.5 5.138
1.5 286.5 4.975
1.5 289.5 4.783
1.5 292.5 4.590
1.5 295.5 4.449
1.5 298.5 4.371
1.5 301.5 4.204
1.5 304.5 4.058
1.5 307.5 3.913
1.5 310.5 3.746
1.5 313.5 3.555
1.5 316.5 3.336
1.5 319.5 3.107
1.5 322.5 2.887
1.5 325.5 2.741
1.5 328.5 2.621
1.5 331.5 2.591
1.5 334.5 2.572
1.5 337.5 2.630
1.5 340.5 2.678
1.5 343.5 2.778
1.5 346.5 2.835
1.5 349.5 2.955
1.5 352.5 3.000
1.5 355.5 3.062
1.5 358.5 3.115
4.5 1.5 2.816
4.5 4.5 3.086
4.5 7.5 3.389
4.5 10.5 3.702
4.5 13.5 3.986
4.5 16.5 4.195
4.5 19.5 4.396
4.5 22.5 4.531
4.5 25.5 4.675
4.5 28.5 4.798
4.5 31.5 4.909
4.5 34.5 5.057
4.5 37.5 5.240
4.5 40.5 5.426
4.5 43.5 5.638
4.5 46.5 5.883
4.5 49.5 6.155
4.5 52.5 6.436
4.5 55.5 6.728
4.5 58.5 6.969
4.5 61.5 7.253
4.5 64.5 7.503
4.5 67.5 7.721
4.5 70.5 7.926
4.5 73.5 7.982
4.5 76.5 8.027
4.5 79.5 8.047
4.5 82.5 8.019
4.5 85.5 7.904
4.5 88.5 7.861
4.5 91.5 7.819
4.5 94.5 7.803
4.5 97.5 7.785
4.5 100.5 7.791
4.5 103.5 7.751
4.5 106.5 7.754
4.5 109.5 7.713
4.5 112.5 7.628
4.5 115.5 7.536
4.5 118.5 7.367
4.5 121.5 7.148
4.5 124.5 6.883
4.5 127.5 6.680
4.5 130.5 6.599
4.5 133.5 6.742
4.5 136.5 7.172
4.5 139.5 7.829
4.5 142.5 8.614
4.5 145.5 9.311
4.5 148.5 9.838
4.5 151.5 10.112
4.5 154.5 9.900
4.5 157.5 9.552
4.5 160.5 8.943
4.5 163.5 8.335
4.5 166.5 7.807
4.5 169.5 7.354
4.5 172.5 7.029
