phi,psi,step
79.5,-55.5,0
76.7173930261,-49.1163722364,1
73.9347860523,-42.7327444729,2
71.1521790784,-36.3491167093,3
68.3695721046,-29.9654889457,4
65.5869651307,-23.5818611822,5
62.8043581568,-17.1982334186,6
60.021751183,-10.814605655,7
57.2391442091,-4.43097789147,8
54.4565372352,1.95264987209,9
51.6739302614,8.33627763566,10
48.8913232875,14.7199053992,11
46.1087163137,21.1035331628,12
43.3261093398,27.4871609264,13
40.5435023659,33.8707886899,14
37.7608953921,40.2544164535,15
34.9782884182,46.6380442171,16
32.1956814443,53.0216719806,17
29.4130744705,59.4052997442,18
24.4256913115,63.8000129693,19
18.3615016011,67.2233458703,20
12.2973118908,70.6466787713,21
6.23312218037,74.0700116724,22
0.168932469986,77.4933445734,23
-5.8952572404,80.9166774744,24
-11.9594469508,84.3400103754,25
-18.0236366612,87.7633432765,26
-24.0878263716,91.1866761775,27
-30.1520160819,94.6100090785,28
-36.2162057923,98.0333419795,29
-42.2803955027,101.456674881,30
-48.3445852131,104.880007782,31
-54.4087749235,108.303340683,32
-60.4729646339,111.726673584,33
-66.5371543442,115.150006485,34
-72.6013440546,118.573339386,35
-78.665533765,121.996672287,36
-84.7297234754,125.420005188,37
-90.7939131858,128.843338089,38
-96.8581028962,132.26667099,39
-102.922292607,135.690003891,40
-108.986482317,139.113336792,41
-115.050672027,142.536669693,42
-121.114861738,145.960002594,43
-127.179051448,149.383335495,44
-133.243241158,152.806668396,45
-139.307430869,156.230001297,46
-145.371620579,159.653334198,47
-151.43581029,163.076667099,48
-157.5,166.5,49
